date;close;adjusted_close;dividend
25/01/2019 00:00;20.145;20.145;0
29/01/2019 00:00;20.155;20.155;0
30/01/2019 00:00;20.345;20.345;0
31/01/2019 00:00;20.42;20.42;0
01/02/2019 00:00;20.535;20.535;0
04/02/2019 00:00;20.455;20.455;0
05/02/2019 00:00;20.79;20.79;0
06/02/2019 00:00;20.767;20.767;0
07/02/2019 00:00;20.39;20.39;0
08/02/2019 00:00;20.305;20.305;0
11/02/2019 00:00;20.517;20.517;0
12/02/2019 00:00;20.715;20.715;0
13/02/2019 00:00;20.755;20.755;0
14/02/2019 00:00;20.71;20.71;0
15/02/2019 00:00;21.092;21.092;0
18/02/2019 00:00;21.154;21.154;0
19/02/2019 00:00;21.137;21.137;0
20/02/2019 00:00;21.272;21.272;0
21/02/2019 00:00;21.255;21.255;0
22/02/2019 00:00;21.341;21.341;0
25/02/2019 00:00;21.41;21.41;0
26/02/2019 00:00;21.442;21.442;0
27/02/2019 00:00;21.373;21.373;0
28/02/2019 00:00;21.447;21.447;0
01/03/2019 00:00;21.53;21.53;0
04/03/2019 00:00;21.63;21.63;0
05/03/2019 00:00;21.681;21.681;0
06/03/2019 00:00;21.645;21.645;0
07/03/2019 00:00;21.564;21.564;0
08/03/2019 00:00;21.415;21.415;0
11/03/2019 00:00;21.554;21.554;0
12/03/2019 00:00;21.572;21.572;0
13/03/2019 00:00;21.706;21.706;0
14/03/2019 00:00;21.89;21.89;0
15/03/2019 00:00;22.122;22.122;0
18/03/2019 00:00;22.142;22.142;0
19/03/2019 00:00;22.23;22.23;0
20/03/2019 00:00;22.053;22.053;0
21/03/2019 00:00;22.035;22.035;0
22/03/2019 00:00;21.584;21.584;0
25/03/2019 00:00;21.567;21.567;0
26/03/2019 00:00;21.738;21.738;0
27/03/2019 00:00;21.737;21.737;0
28/03/2019 00:00;21.708;21.708;0
29/03/2019 00:00;21.931;21.931;0
01/04/2019 00:00;22.146;22.146;0
02/04/2019 00:00;22.214;22.214;0
03/04/2019 00:00;22.412;22.412;0
04/04/2019 00:00;22.395;22.395;0
05/04/2019 00:00;22.446;22.446;0
08/04/2019 00:00;22.424;22.424;0
09/04/2019 00:00;22.301;22.301;0
10/04/2019 00:00;22.34;22.34;0
11/04/2019 00:00;22.476;22.476;0
12/04/2019 00:00;22.551;22.551;0
15/04/2019 00:00;22.595;22.595;0
16/04/2019 00:00;22.677;22.677;0
17/04/2019 00:00;22.811;22.811;0
18/04/2019 00:00;22.892;22.892;0
23/04/2019 00:00;22.945;22.945;0
24/04/2019 00:00;22.887;22.887;0
25/04/2019 00:00;22.831;22.831;0
26/04/2019 00:00;22.896;22.896;0
29/04/2019 00:00;22.946;22.946;0
30/04/2019 00:00;23.006;23.006;0
02/05/2019 00:00;22.875;22.875;0
03/05/2019 00:00;22.921;22.921;0
06/05/2019 00:00;22.65;22.65;0
07/05/2019 00:00;22.311;22.311;0
08/05/2019 00:00;22.4;22.4;0
09/05/2019 00:00;22.033;22.033;0
10/05/2019 00:00;22.096;22.096;0
13/05/2019 00:00;21.816;21.816;0
