date;close;adjusted_close;dividend
05/08/2016 00:00;126.68;126.68;0
08/08/2016 00:00;126.65;126.65;0
09/08/2016 00:00;127.99;127.99;0
10/08/2016 00:00;127.51;127.51;0
11/08/2016 00:00;128.8;128.8;0
12/08/2016 00:00;128.45;128.45;0
15/08/2016 00:00;128.47;128.47;0
16/08/2016 00:00;127.49;127.49;0
17/08/2016 00:00;126.31;126.31;0
18/08/2016 00:00;127.39;127.39;0
19/08/2016 00:00;126.37;126.37;0
22/08/2016 00:00;126.44;126.44;0
23/08/2016 00:00;127.55;127.55;0
24/08/2016 00:00;128.11;128.11;0
25/08/2016 00:00;127.15;127.15;0
26/08/2016 00:00;127.75;127.75;0
29/08/2016 00:00;127.46;127.46;0
30/08/2016 00:00;128.17;128.17;0
31/08/2016 00:00;127.58;127.58;0
01/09/2016 00:00;127.67;127.67;0
02/09/2016 00:00;130.11;130.11;0
05/09/2016 00:00;130.38;130.38;0
06/09/2016 00:00;129.91;129.91;0
07/09/2016 00:00;130.42;130.42;0
08/09/2016 00:00;129.85;129.85;0
09/09/2016 00:00;128.33;128.33;0
12/09/2016 00:00;127.04;127.04;0
13/09/2016 00:00;125.69;125.69;0
14/09/2016 00:00;125.73;125.73;0
15/09/2016 00:00;126.56;126.56;0
16/09/2016 00:00;125.41;125.41;0
19/09/2016 00:00;126.84;126.84;0
20/09/2016 00:00;126.69;126.69;0
21/09/2016 00:00;127.13;127.13;0
22/09/2016 00:00;129.32;129.32;0
23/09/2016 00:00;128.3;128.3;0
26/09/2016 00:00;126.35;126.35;0
27/09/2016 00:00;126.67;126.67;0
28/09/2016 00:00;127.31;127.31;0
29/09/2016 00:00;127.52;127.52;0
30/09/2016 00:00;127.52;127.52;0
03/10/2016 00:00;127.52;127.52;0
04/10/2016 00:00;128.69;128.69;0
05/10/2016 00:00;127.96;127.96;0
06/10/2016 00:00;127.41;127.41;0
07/10/2016 00:00;126.12;126.12;0
10/10/2016 00:00;127.16;127.16;0
11/10/2016 00:00;126.38;126.38;0
12/10/2016 00:00;125.92;125.92;0
13/10/2016 00:00;124.84;124.84;0
14/10/2016 00:00;126.38;126.38;0
17/10/2016 00:00;125.66;125.66;0
18/10/2016 00:00;127.5;127.5;0
19/10/2016 00:00;127.91;127.91;0
20/10/2016 00:00;128.17;128.17;0
21/10/2016 00:00;128.25;128.25;0
24/10/2016 00:00;128.08;128.08;0
25/10/2016 00:00;127.69;127.69;0
26/10/2016 00:00;127.27;127.27;0
27/10/2016 00:00;127.31;127.31;0
28/10/2016 00:00;126.88;126.88;0
31/10/2016 00:00;126.19;126.19;0
01/11/2016 00:00;124.89;124.89;0
02/11/2016 00:00;123.4;123.4;0
03/11/2016 00:00;123.37;123.37;0
04/11/2016 00:00;122.22;122.22;0
07/11/2016 00:00;124.34;124.34;0
08/11/2016 00:00;124.7;124.7;0
09/11/2016 00:00;126.76;126.76;0
10/11/2016 00:00;126.4;126.4;0
11/11/2016 00:00;125.8;125.8;0
14/11/2016 00:00;126;126;0
15/11/2016 00:00;126.48;126.48;0
16/11/2016 00:00;126.23;126.23;0
17/11/2016 00:00;127.1;127.1;0
18/11/2016 00:00;126.56;126.56;0
21/11/2016 00:00;126.88;126.88;0
22/11/2016 00:00;127.14;127.14;0
23/11/2016 00:00;127.06;127.06;0
24/11/2016 00:00;127.52;127.52;0
25/11/2016 00:00;127.86;127.86;0
28/11/2016 00:00;126.74;126.74;0
29/11/2016 00:00;127.29;127.29;0
30/11/2016 00:00;127.73;127.73;0
01/12/2016 00:00;127.02;127.02;0
02/12/2016 00:00;126.49;126.49;0
05/12/2016 00:00;127.26;127.26;0
06/12/2016 00:00;128.54;128.54;0
07/12/2016 00:00;129.84;129.84;0
08/12/2016 00:00;131.3;131.3;0
09/12/2016 00:00;132.17;132.17;0
12/12/2016 00:00;132.06;132.06;0
13/12/2016 00:00;133.35;133.35;0
14/12/2016 00:00;132.61;132.61;0
15/12/2016 00:00;134;134;0
16/12/2016 00:00;134.29;134.29;0
19/12/2016 00:00;134.16;134.16;0
20/12/2016 00:00;134.9;134.9;0
21/12/2016 00:00;134.53;134.53;0
22/12/2016 00:00;134.36;134.36;0
23/12/2016 00:00;134.49;134.49;0
27/12/2016 00:00;134.57;134.57;0
28/12/2016 00:00;134.95;134.95;0
29/12/2016 00:00;134.63;134.63;0
30/12/2016 00:00;134.88;134.88;0
02/01/2017 00:00;136.14;136.14;0
03/01/2017 00:00;136.49;136.49;0
04/01/2017 00:00;136.42;136.42;0
05/01/2017 00:00;136.67;136.67;0
06/01/2017 00:00;136.53;136.53;0
09/01/2017 00:00;135.75;135.75;0
10/01/2017 00:00;135.91;135.91;0
11/01/2017 00:00;136.34;136.34;0
12/01/2017 00:00;135.45;135.45;0
13/01/2017 00:00;136.91;136.91;0
16/01/2017 00:00;135.73;135.73;0
